search_id,software_details,software_pageref,version_specified,version_details,is_r_package,package_location,r_packages_mentioned,software_cited,citation_details,notes
MA003,R,1630,Y,3.2.3,N,N/A,N,N,NA,No packages mentioned
MA006,R,1445,N,NA,N,N/A,N,N,NA,Mentioned very briefly in authors' contributions section at end
MA011,R,1311,Y,3.2.1,N,N/A,Y,Y,"R Core Team. (2015). R: A language and environment for statistical computing. Vienna, Austria: R Foundation for Statistical Computing. Retrieved from http://www.R-project.org/",NA
MA011,lme4,1311,Y,1.1-8,Y,CRAN,N/A,Y,"Bates, D., Maechler, M., Bolker, B., & Walker, S. (2015). lme4: Linear mixed-effects models using Eigen and S4_. R package version 1.1-8. Retrieved from http://CRAN.R-project.org/package=lme4","In the text this package is mistakenly referred to as ""lmer"" instead of ""lme4"" but reference is correct"
MA013,R,1408,N,NA,N,N/A,Y,N,NA,NA
MA013,nlme,1408,Y,3.1-28,Y,CRAN,N/A,Y,"Pinheiro, J., Bates, D.M., DebRoy, S. & Sarkar, D. (2016) nlme: linear and mixed-effect models version 3.1-128. http://CRAN.R-project.org/package=nlme",NA
MA016,Python,1100,Y,2.7,N,N/A,N/A,Y,"Python Software Foundation, http://www.python.org","The Python code doesn't cover the meta-analysis results presented in the paper, it is for the simulation results"
MA019,R,1661,N,NA,N,N/A,Y,Y,"R Core Development Team ( 2014 ). R: A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Vienna. Available at http://www.R-project.org/. Accessed 3.11.2014.",NA
MA019,vegan,1659,Y,2.2-1,Y,CRAN,N/A,Y,"Oksanen,J.,Blanchet,F.G.,Kindt,R.,Legendre,P.,Minchin,P.R.,O’Hara, R. B., Simpson, G. L., Solymos, P., Henry, M., Stevens, H. & Wagner, H. ( 2015 ). Vegan: community ecology package. R package, version 2.2-1.",NA
MA019,ade4,1660,N,NA,Y,CRAN,N/A,Y,"Dray, S. & Dufour, A. B. ( 2007 ). The ade4 package: implementing the duality diagram for ecologists. Journal of Statistical Software 22, 1–20.",NA
MA022,Minitab,1177,N,NA,N,N/A,N/A,N,NA,No other details
MA023,R,1612,N,NA,N,N/A,Y,N,NA,NA
MA023,nlme,1612,Y,3.1-111,Y,CRAN,N/A,Y,"Pinheiro, J., Bates, D., DebRoy, S., Sarkar, D. & The R Development Core Team ( 2013 ). Nlme: linear and nonlinear mixed effects models. R package version 3.1-111.",NA
MA023,ape,1612,N,NA,Y,CRAN,N/A,Y,"Paradis, E., Claude, J. & Strimmer, K. ( 2004 ). APE: analyses of phylogenetics and evolution in R language. Bioinformatics 20, 289–290.",NA
MA025,SPSS/PASW,300,Y,22.0,N,N/A,N/A,T,"SPSS Inc., Chicago, IL, USA",NA
MA025,OriginPro,300,Y,9.1.0,N,N/A,N/A,T,"OriginLab Corporation, Northampton, MA, USA",Used for plotting results
MA026,MuMIn,1759,N,NA,Y,CRAN,N/A,N,NA,NA
MA026,Stan,1759,N,NA,N,N/A,N/A,N,NA,NA
MA026,R,1759,N,NA,N,N/A,Y,N,NA,NA
MA026,rstan,1759,N,NA,Y,CRAN,N/A,N,NA,NA
MA026,lme4,1759,N,NA,Y,CRAN,N/A,N,NA,NA
MA029,R,1168,Y,3.1.2,N,N/A,Y,Y,"R Core Team 2015. R: A Language and Environment for Statistical Computing. R foundation for statistical computing, Vienna, Austria.",NA
MA029,meta,1168,N,NA,Y,CRAN,N/A,Y,"Schwarzer, G., Carpenter, J.R. & Rucker, G. 2015. Meta-analysis with R. Springer International Publishing, Switzerland.",NA
MA035,R,211,Y,3.3.0,N,N/A,Y,Y,"R Development Core Team. (2016). R: A language and environment for statistical computing. [3.3.0]. Vienna, Austria: R Foundation for Statistical Computing. http://www.R-project.org/.",NA
MA035,rms,212,Y,4.5-0,Y,CRAN,N/A,Y,"Harrell, F. (2016). Package ‘rms’. R package version 4.5-0 http://biostat.mc.vanderbilt.edu/wiki/Main/RmS.",NA
MA035,MuMIn,212,Y,1.13.4,Y,CRAN,N/A,Y,"Barton, K. (2012). MuMIn: Model selection and model averaging based on information criteria. R package version 1.13.4 http://R-Forge.R-project.org/projects/mumin/.",NA
MA035,lme4,212,N,NA,Y,CRAN,N/A,Y,"Bates, D., Machler, M., Bolker, B. M., & Walker, S. C. (2015). Fitting linear mixed-effects models using lme4. Journal of Statistical Software, 67, 1-48.",NA
MA035,lsmeans,212,N,NA,Y,CRAN,N/A,Y,"Lenth, R. V. (2016). Least-squares means: the R package lsmeans. Journal of Statistical Software, 69, 1-33.",NA
MA036,R,543,Y,3.2.2,N,N/A,Y,Y,"R Core Team. (2015). R: A language and environment for statistical computing. R Foundation for Statistical Computing, Vienna, Austria.",NA
MA036,lme4,543,N,NA,Y,CRAN,N/A,Y,"Bates, D., Maechler, M., Bolker, B. & Walker, S. (2015). Fitting linear mixed-effects models using lme4. J. Stat. Soft., 67, 1–48.",NA
MA036,SigmaPlot,544,Y,12.5,N,N/A,N/A,T,"Systat software, San Jose",NA
MA040,JMP,644,Y,11.0,N,N/A,N/A,T,"SAS Institute Inc., Cary, NC, USA",NA
MA042,R,310,Y,3.1.2,N,N/A,Y,T,< www.r-project.org >,NA
MA042,ape,311,N,NA,Y,CRAN,N/A,Y,"Paradis, E. et al. 2004. APE: analyses of phylogenetics and evolution in R language. – Bioinformatics 20: 289–290.",NA
MA042,MASS,311,N,NA,Y,CRAN,N/A,Y,"Venables, W. N. and Ripley, B. D. 2002. MASS: modern applied statistics with S. – Springer.",NA
MA042,PVR,311,N,NA,Y,CRAN,N/A,Y,"Santos, T. et al. 2012. PVR: Computes phylogenetic eigenvectors regression (PVR) and phylogenetic signal-representation curve (PSR) (with null and Brownian expectations). – CRAN: < http://143.107.212.50/web/packages/PVR/PVR.pdf >.",NA
MA052,R,"p.7 (Methods S2, supplement)",Y,3.2.4,N,N/A,Y,N,NA,NA
MA052,meta,"p.7 (Methods S2, supplement)",N,NA,Y,CRAN,N/A,N,NA,NA
MA052,ggplot2,"p.7 (Methods S2, supplement)",N,NA,Y,CRAN,N/A,N,NA,NA
MA054,R,184,Y,3.2.1,N,N/A,Y,Y,"R Development Core Team 2014. R: A language and environment for statistical computing. Vienna, Austria: R foundation for Statistical Computing. [WWW document] URL http://www.Rproject.org/ [accessed 6 March 2016].",NA
MA054,nlme,184,N,NA,Y,CRAN,N/A,Y,"Pinheiro J, Bates D, DebRoy S, Sarkar D, Team RC. 2015. nlme: linear and nonlinear mixed effects models. R package v.3.1-119. [WWW document] URL http://CRAN.R-project.org/package=nlme [accessed 6 March 2016].",NA
MA054,party,184,N,NA,Y,CRAN,N/A,Y,"Strobl C, Boulesteix A-L, Zeileis A, Hothorn T. 2007. Bias in random forest variable importance measures: illustrations, sources and a solution. BMC Bioinformatics 8: 25.",NA
MA063,R,10,Y,3.2.3,N,N/A,Y,T,< www.r-project.org >,NA
MA063,boot,10,Y,1.3-1,Y,CRAN,N/A,Y,"Canty, A. and Ripley, B. 2014. boot: bootstrap R (S-Plus) functions. – R package ver. 1.3-1.",NA
MA063,lme4,11,Y,1.1-7,Y,CRAN,N/A,Y,"Bates, D. et al. 2014. lme4: linear mixed-effects models using Eigen and S4. – R package ver. 1.1-7.; Bates, D. et al. 2015. Fitting linear mixed-effects models using lme4. – J. Stat. Softw. 67: 1–48.",NA
MA063,MuMIn,11,Y,1.14.0,Y,CRAN,N/A,Y,"Barton, K. 2015. MuMIn: multi-model inference. – R package ver.1.14.0.",NA
MA064,R,1052,N,NA,N,N/A,Y,N,NA,Only mentioned implicitly through the mention of R packages
MA064,MODISTools,1052,N,NA,Y,CRAN,N/A,Y,"Tuck SL, Phillips HRP, Hintzen RE, Scharlemann JPW, Purvis A, Hudson LN. 2014. MODISTools – downloading and processing MODIS remotely sensed data in R. Ecology and Evolution 4: 4658–4668.",NA
MA064,leaps,1052,N,NA,Y,CRAN,N/A,N,NA,NA
MA064,glmulti,1052,N,NA,Y,CRAN,N/A,N,NA,NA
MA066,R,3,N,NA,N,N/A,Y,N,NA,Only mentioned implicitly through the mention of R packages
MA066,lme4,3,N,NA,Y,CRAN,N/A,Y,"Bates D, Machler M, Bolker BM, Walker SC. 2015. Fitting linear mixed-effects models using lme4. Journal of Statistical Software 67: 1–48.",NA
MA066,phytools,3,N,NA,Y,CRAN,N/A,Y,Revell LJ. 2012. phytools: an R package for phylogenetic comparative biology (and other things). Methods in Ecology and Evolution 3: 217–223.,NA
MA066,pez,3,N,NA,Y,CRAN,N/A,Y,"Pearse WD, Cadotte MW, Cavender-Bares J, Ives AR, Tucker CM, Walker SC, Helmus MR. 2015. pez: phylogenetics for the environmental sciences. Bioinformatics 31: 2888–2890.",NA
MA066,Cytoscape,4,N,NA,N,N/A,N/A,Y,"Shannon P, Markiel A, Ozier O, Baliga NS, Wang JT, Ramage D, Amin N, Schwikowski B, Ideker T. 2003. Cytoscape: a software environment for integrated models of biomolecular interaction networks. Genome Research 13: 2498–2504.",NA
MA069,R,4,N,NA,N,N/A,Y,Y,"R Core Team (2016). R: A language and environment for statistical computing. Vienna, Austria: R Foundation for Statistical Computing.",NA
MA069,lme4,4,N,NA,Y,CRAN,N/A,Y,"Bates, D., Machler, M., Bolker, B. M., & Walker, S. C. (2015). Fitting linear mixed- effects models using lme4. Journal of Statistical Software, 67, 1–48.",NA
MA069,caper,4,N,NA,Y,CRAN,N/A,Y,"Orme, D., Freckleton, R., Thomas, G., Petzoldt, T., Fritz, S., Isaac, N., & Pearse, W. (2013). caper: Comparative analyses of phylogenetics and evolution in R. Collingwood, Australia: CSIRO Publishing.",NA
MA071,R,534,Y,3.2.2,N,N/A,Y,Y,"R Development Core Team ( 2015 ). R: A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Vienna.",NA
MA071,lmerTest,534,Y,2,Y,CRAN,N/A,Y,"Kuznetsova, A., Brockhoff, P. B. & Christensen, R. H. B. ( 2015 ). Package ‘lmerTest’. R package version 2.",NA
MA077,DataThief III,1420,Y,1.6 2010,N,N/A,N/A,Y,"Tummers, D. (2005). DataThief III. http://datathief.org/. Last accessed Accessed 1 April 2014.",NA
MA077,R,1423,N,NA,N,N/A,Y,Y,"R Core Team (2015). R: A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Vienna, Austria. http://www.R-project.org/.",NA
MA077,zoo,1420,N,NA,Y,CRAN,N/A,Y,"Zeileis, A. & Grothendieck, G. (2005). zoo: S3 infrastructure for regular and irregular time series. J. Stat. Softw., 14(6), 1–27.",NA
MA081,raster,5349,N,NA,Y,CRAN,N/A,Y,Hijmans RJ (2014) raster: Geographic Data Analysis and Modeling. http://CRAN.R-project.org/package=raster.,NA
MA081,GRASS GIS,5349,N,NA,N,N/A,N/A,N,NA,NA
MA081,Circuitscape,5349,Y,4.0,N,N/A,N/A,N,NA,NA
MA081,nlme,5350,N,NA,Y,CRAN,N/A,Y,"Pinheiro J, Bates D, DebRoy S, Sarkar D (2014) nlme: Linear and Nonlinear Mixed Effects Models. http://CRAN.R-project.org/package=nlme.",NA
MA081,MuMIn,5350,N,NA,Y,CRAN,N/A,Y,Kamil B (2014) MuMIn: Multi-Model Inference. http://CRAN.R-project.org/package=MuMIn.,NA
MA081,R,5349,N,NA,N,N/A,Y,N,NA,Only mentioned implicitly through the mention of R packages
MA091,R,"p.1 (Appendix S2, supplement)",N,NA,N,N/A,Y,N,NA,NA
MA091,metafor,"p.1 (Appendix S2, supplement)",N,NA,Y,CRAN,N/A,N,NA,NA
MA091,DataThief III,"p.1 (Appendix S2, supplement)",N,NA,N,N/A,N/A,N,NA,NA
MA092,ED2 (FORTRAN),81,Y,2,N,N/A,N/A,Y,"Medvigy D, Wofsy SC, Munger JW, Hollinger DY, Moorcroft PR. 2009. Mechanistic scaling of ecosystem function and dynamics in space and time: Ecosystem Demography model version 2. Journal of Geophysical Research 114: G01002.","This is a FORTRAN program, I guess it counts as software"
MA093,lme4,1491,Y,0.999375-37,Y,CRAN,N/A,Y,"Bates, D. and Maechler, M. 2010. lme4: linear mixed-effects models using S4 classes. – R package ver. 0.999375-37. < http://CRAN.R-project.org/package = lme4 >.",NA
MA093,R,1491,N,NA,N,N/A,Y,N,NA,Only mentioned implicitly through the mention of R packages
MA094,R,1225,Y,3.1.1,N,N/A,Y,T,< www.r-project.org >,NA
MA094,foodweb,1225,N,NA,Y,CRAN,N/A,T,Perdomo et al. unpubl.,"Not the most helpful citation, but it is there"
MA094,raster,1226,Y,2.3-0,Y,CRAN,N/A,Y,"Hijmans, R. J. 2014. raster: Geographic data analysis and modeling. – R package ver. 2.3-0. < http://CRAN.R-project.org/package = raster >.",NA
MA094,vegan,1226,Y,2.3-1,Y,CRAN,N/A,Y,"Oksanen, J. F. et al. 2015. vegan: community ecology package. – R package ver. 2.3-1.",NA
MA094,lme4,1226,Y,1.1-7,Y,CRAN,N/A,Y,Bates D. et al. 2014. _lme4: linear mixed-effects models using Eigen and S4. – R package ver. 1.1-7.,NA
MA094,stats,1226,N,NA,Y,base,N/A,N,NA,This is a base package of R
MA094,RInSp,1225,N,NA,Y,CRAN,N/A,Y,"Zaccarelli, N. et al. 2013. RInSp: an R package for the analysis of individual specialisation in resource use. – Meth. Ecol. Evol. 4: 1018–1023.",NA
MA094,igraph,1225,N,NA,Y,CRAN,N/A,Y,"Csardi, G. and Nepusz, T. 2006. The igraph software package for complex network research, InterJournal. – Complex Systems 1695. 2006. < http://igraph.org >.","This package is not exclusively an R package, but it can be. Unclear but likely that the R package was used"
MA100,GraphClick,987,N,NA,N,N/A,N/A,T,Arizona Software 2010,NA
MA100,R,987,N,NA,N,N/A,Y,Y,"R Development Core Team (2010). R: a language and environment for statistical computing. R Foundation for Statistical Computing, Vienna, Austria. https://www.R-project.org/",NA
MA100,rjags,987,Y,4-5,Y,CRAN,N/A,Y,Plummer M (2016) rjags: Bayesian Graphical Models using MCMC. R package version 4–5. https://CRAN.R-project.org/package=rjags,NA
MA102,R,1140,Y,3.1.1,N,N/A,Y,N,NA,NA
MA102,lme4,1140,Y,1.1-7,Y,CRAN,N/A,Y,"Bates, D., Maechler, M., Bolker, B. & Walker, S. (2014) lme4: linear mixed-effects models using Eigen and S4. R package version 1.1-7, http://CRAN.R-project.org/package=lme4",NA
MA102,visreg,1140,N,NA,Y,CRAN,N/A,Y,"Breheny, P. & Burchett, W. (2012) Visualizing regression models using visreg. Available at: http://myweb.uiowa.edu/pbreheny/publications/visreg.pdf",NA
MA102,MuMIn,1140,N,NA,Y,CRAN,N/A,Y,"Barton, K. (2016) Multi-model inference. Available at: https://cran.r-project.org/web/packages/MuMIn/MuMIn.pdf",NA
MA106,R,377,Y,3.0.2,N,N/A,Y,Y,"R Development Team. 2013. R version 3.0.2. R Projecy for Statistical Computing, Vienna, Austria. www.r-project.org",NA
MA106,randomForest,377,N,NA,Y,CRAN,N/A,Y,"Breiman, L. 2001. Random forest. Machine Learning 45:5–32.",NA
MA106,A3,377,N,NA,Y,CRAN,N/A,Y,"Fortmann-Roe, S. 2015. Consistent and clear reporting of results from diverse modeling techniques: the A3 method. Journal of Statistical Software 66(7):1–23. URL http://www.jstatsoft.org/v66/i07/",NA
MA106,rfPermute,377,N,NA,Y,CRAN,N/A,Y,"Liaw, A., and M. Wiener. 2002. Classification and regression by randomForest. Rnews 2:18.",NA
MA106,AMOS,378,Y,20.0,N,N/A,N/A,T,"Amos Development Company, Crawfordville, Florida, USA",NA
MA106,PRIMER,378,N,NA,N,N/A,N/A,T,"PRIMER- E Ltd., Plymounth Marine Laboratory, Plymounth, UK",NA
MA106,vegan,380,Y,2.3-5,Y,CRAN,N/A,Y,"Oksanen, J., F. B. Blanchet, R. Kindt, P. Legendre, P. R. Minchin, R. B. O’Hara, G. L. Simpson, P. Solymos, M. H. H. Stevens, and H. Wagner. 2016. vegan: Community Ecology Package. R package version 2.3-5. https://CRAN.R-project.org/package=vegan",NA
MA107,R,763,N,NA,N,N/A,Y,Y,"R Development Core Team ( 2014 ). A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Vienna. Electronic file available at http://www.r-project.org/ Accessed 2.4.2014.",NA
MA107,coin,763,N,NA,Y,CRAN,N/A,Y,"Hothorn,T.,Hornik,K.,van deWiel,M.A.&Zeileis,A.( 2008 ).Implementing a class of permutation tests: the coin Package. Journal of Statistical Software 28, 1–23.",NA
MA115,SPSS/PASW,104,Y,21.0,N,N/A,N/A,N,NA,NA
MA118,SAS,1047,Y,9.4,N,N/A,N/A,T,"SAS Institute, Cary, NC, USA",NA
MA125,DataThief III,1070,Y,1.6,N,N/A,N/A,Y,"Tummers, B. DataThief III. 2006 http://datathief.org/",NA
MA125,R,1071,Y,2.14,N,N/A,Y,Y,"R development Core Team. 2011. R: A language and environment for statistical computing. R Foundation for Statistical Comping, Vienna, Austria. www.R_project.org/",NA
MA125,lmodel2,1071,N,NA,Y,CRAN,N/A,Y,"Legendre, P. 2013. Model II regression user’s guide, R edition. Montreal, Canada. http://cran.r-project.org",NA
MA126,WebPlotDigitizer,p.3 (Supporting Information Methods S1),N,NA,N,N/A,N/A,T,http://arohatgi.info/WebPlotDigitizer,NA
MA126,Phylomatic,p.3 (Supporting Information Methods S1),Y,3,N,N/A,N/A,T,http://phylodiversity.net/phylomatic/,NA
MA126,Phylocom,p.3 (Supporting Information Methods S1),Y,4.2,N,N/A,N/A,Y,"Webb CO, Ackerly DD, Kembel SW. 2008. Phylocom: software for the analysis of phylogenetic community structure and trait evolution. Bioinformatics 24: 2098-2100.",NA
MA126,R,p.3 (Supporting Information Methods S1),Y,3.2,N,N/A,Y,N,NA,NA
MA126,ape,p.3 (Supporting Information Methods S1),N,NA,Y,CRAN,N/A,N,NA,NA
MA126,metafor,p.3 (Supporting Information Methods S1),N,NA,Y,CRAN,N/A,Y,Viechtbauer W. 2010. Conducting meta-analyses in R with the metafor package. Journal of Statistical Software 36(3): 1-48.,NA
MA126,phytools,p.5 (Supporting Information Methods S1),N,NA,Y,CRAN,N/A,N,NA,NA
MA129,R,443,Y,2.12,N,N/A,N,Y,"R Development Core Team (2011) R: A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Viena, Austria. Available at: http://www.R-project.org.",NA
MA130,SAS,571,Y,9.2,N,N/A,N/A,T,"http://support.sas.com, consulted on 25 June 2014 and 15 June 2015",NA
MA136,SAS,598,Y,9.4,N,N/A,N/A,T,"SAS Institute, Inc., Cary, NC",NA
MA136,R,598,N,NA,N,N/A,Y,T,"R Development Core Team, www.r-project.org",NA
MA136,boot,598,N,NA,Y,CRAN,N/A,N,NA,NA
MA146,PlotDigitizer,N/A,Y,2.6.6,N,N/A,N/A,Y,Huwaldt JA. 2014. Plot digitiser. Software version 2.6.6. Available from: http://plotdigitizer.sourceforge.net.,NA
MA146,R,N/A,Y,3.1.3,N,N/A,Y,Y,R Core Team. 2015. R: a language and environment for statistical computing. Vienna (Austria): R Foundation for Statistical Computing. Available from: http://www.R-project.org/.,NA
MA146,metafor,N/A,N,NA,Y,CRAN,N/A,Y,Viechtbauer W. 2010. Conducting meta-analyses in R with the metafor package. J Stat Softw. 36:1–48.,NA
MA146,glmulti,N/A,N,NA,Y,CRAN,N/A,Y,Calcagno V and de Mazancourt C. 2010. glmulti: an R package for easy automated model selection with (generalized) linear models. J Stat Softw. 34:1–29.,NA
MA151,R,724,Y,3.0.0/2.14.1,N,N/A,Y,Y,"R Development Core Team ( 2013 ). R: A Language and Environment for Statistical Computing. 2.14.1 Edition. R Foundation for Statistical Computing, Vienna.",NA
MA151,party,724,N,NA,Y,CRAN,N/A,N,NA,NA
MA152,Stan,24,N,NA,N,N/A,N/A,N,NA,Accessed via PyStan
MA152,Python,24,Y,2.7,N,N/A,N/A,T,available at python.org,NA
MA153,R,329,Y,3.0.1,N,N/A,Y,Y,"R Development Core Team . 2013 . R: a language and environment for statistical computing . R Foundation for Statistical Computing , Vienna, Austria . www.R-project.org",NA
MA153,OpenBUGS,329,Y,3.2.2,N,N/A,N/A,Y,"Thomas , A. , B. O ’ Hara , U. Ligges , and S. Sturtz . 2006. Making BUGS open . R News 6 : 12 – 17 .",NA
MA153,R2WinBUGS,329,N,NA,Y,CRAN,N/A,Y,"Sturtz , S. , U. Ligges , and A. Gelman . 2005 . R2WinBUGS: A package for running WinBUGS from R . Journal of Statistical Software 12 : 1 – 16 .",NA
MA155,R,561,Y,3.1.2,N,N/A,Y,Y,"R Core Team (2015) R: A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Vienna.",NA
MA155,Perl,561,N,NA,N,N/A,N/A,N,NA,Referred to indirectly via reference to a Perl script
MA155,DESeq2,561,N,NA,Y,BioConductor,N/A,Y,"Love MI, Huber W, Anders S (2014) Moderated estimation of fold change and dispersion for RNA-seq data with DESeq2. Genome Biology, 15, 1–21.","This is a bioconductor package, not a CRAN package"
MA155,arrayQualityMetrics,561,N,NA,Y,BioConductor,N/A,Y,"Kauffmann A, Gentleman R, Huber W (2009) Arrayqualitymetrics–a bioconductor package for quality assessment of microarray data. Bioinformatics (Oxford, England), 25, 415–416.","This is a bioconductor package, not a CRAN package"
MA155,Bowtie2,561,N,NA,N,N/A,N/A,Y,"Langmead B, Salzberg SL (2012) Fast gapped-read alignment with Bowtie 2. Nature Methods, 9, 357–359.",NA
MA155,adegenet,561,N,NA,Y,CRAN,N/A,Y,"Jombart T (2008) Adegenet: A R package for the multivariate analysis of genetic markers. Bioinformatics, 24, 1403–1405.",NA
MA155,vegan,561,N,NA,Y,CRAN,N/A,Y,"Dixon P (2003) VEGAN, a package of R functions for community ecology. Journal of Vegetation Science, 14, 927–930.",NA
MA155,pheatmap,561,N,NA,Y,CRAN,N/A,Y,Kolde R (2013) pheatmap: Pretty Heatmaps. R-package,NA
MA155,KOGMWU,561,N,NA,Y,CRAN,N/A,Y,"Dixon GB, Davies SW, Aglyamova GA et al. (2015) Genomic determinants of coral heat tolerance across latitudes. Science, 348, 1460–1462.",NA
MA155,empiricalFDR.DESeq2,563,N,NA,Y,CRAN,N/A,N,NA,"This is actually incorrectly referred to as ""empiricalFDR"" instead of its full name"
MA157,R,1131,Y,3.1.2,N,N/A,Y,Y,"R Development Core Team ( 2015 ). R: A Language and Environment for Statistical Computing. [3.1.2]. R Foundation for Statistical Computing, Vienna, Austria.",NA
MA157,glmulti,1131,N,NA,Y,CRAN,N/A,Y,"Calcagno, V. & De Mazancourt, C. ( 2010 ). glmulti: an R package for easy automated model selection with (generalized) linear models. Journal of Statistical Software 34, 1–29.",NA
MA158,SAS,3356,Y,9.3 2010 release,N,N/A,N/A,T,"SAS Institute, Cary, North Carolina, USA",NA
